what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980511199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980537137
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.generate.javadoc",1477980537147
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477980540745
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1477980553820
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477980555120
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1477980560997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980582689
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980644720
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477980648331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980658191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980747506
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1477980748899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980757898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980929743
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1477980930133
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980931403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980934924
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477980938788
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980941940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980945791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980946691
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980948181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980948331
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980952299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980952439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477980953799
