what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541439414
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476541441134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541442257
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541446834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541446910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1476541446919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541451211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541455814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541458848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541464478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541464511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541467056
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541471565
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541471611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541480059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541481235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541482657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541499594
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476541513014
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541533284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541533320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541535603
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541535682
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541535682
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476541536948
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541536948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541557799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541570984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541581181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541586935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541586971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541592357
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541598981
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541599017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541606923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541689600
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541691367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541698772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541698815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476541700638
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476541702283
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476541702457
