what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887716503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887717043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887717553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887717973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887718303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887734175
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887734355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477887734895
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477887793537
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1477887797621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887797651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887799171
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477887801437
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1477887814733
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477887823498
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1477887829651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887829691
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887830871
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477887837651
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477887841964
error,log,,,"Internal Error",1477887844019
error,log,,,"Resource '/HelloProjectAnt/src/build.xml' does not exist.",1477887844019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887844059
closed,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1477887844159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887848192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887848262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887848302
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477887863890
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477887866073
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1477887870140
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477887872220
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477887873393
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477887873523
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477887874853
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477887899496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477887905053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477888224691
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1477888230765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477888234128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477888240388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477888262889
